"mon" "ids" "betweenness" "indegree" "outdegree" "alldegree" "closeness"
"1" "1989-04-01" "521495" 0 3 0 3 0.000130616509926855
"2" "1989-04-01" "1653420" 0 0 1 1 0.000132117849121416
"3" "1989-04-01" "31252" 0 0 2 2 0.000140056022408964
"4" "1989-04-01" "696991" 0 3 0 3 0.000130616509926855
"5" "1989-04-01" "700447" 0 2 0 2 0.000130616509926855
"6" "1989-04-01" "697759" 0 0 2 2 0.000133654103180968
"7" "1989-04-01" "1653422" 0 0 1 1 0.000132117849121416
"8" "1989-04-01" "1278246" 0 2 0 2 0.000130616509926855
"9" "1989-04-01" "35607" 0 0 1 1 0.000132117849121416
"10" "1989-04-01" "1164327" 0 2 0 2 0.000130616509926855
"11" "1989-04-01" "28184" 0 0 2 2 0.000135208220659816
"12" "1989-04-01" "400786" 0 0 5 5 0.000138427464008859
"13" "1989-04-01" "708627" 0 0 3 3 0.000136817622109728
"14" "1989-04-01" "428064" 0 1 2 3 0.000135208220659816
"15" "1989-04-01" "708497" 0.2 19 2 21 0.000133654103180968
"16" "1989-04-01" "432157" 0 0 2 2 0.000143554407120299
"17" "1989-04-01" "541332" 0 3 1 4 0.000135189941868325
"18" "1989-04-01" "2129852" 0 1 0 1 0.000130616509926855
"19" "1989-04-01" "1215408" 0 27 0 27 0.000130616509926855
"20" "1989-04-01" "928" 0 1 1 2 0.000132117849121416
"21" "1989-04-01" "428199" 0 0 0 0 0.000130616509926855
"22" "1989-04-01" "876714" 0 0 6 6 0.000149053510210165
"23" "1989-04-01" "7080" 0 1 5 6 0.00013840830449827
"24" "1989-04-01" "537634" 0 5 1 6 0.000133636242148871
"25" "1989-04-01" "1277851" 0 0 1 1 0.000132117849121416
"26" "1989-04-01" "300" 0 0 1 1 0.000132117849121416
"27" "1989-04-01" "29868" 0 0 4 4 0.000136836343732895
"28" "1989-04-01" "367658" 0 0 1 1 0.000132117849121416
"29" "1989-04-01" "2700741" 0 0 6 6 0.000140173815531259
"30" "1989-04-01" "14129" 0 1 0 1 0.000130616509926855
"31" "1989-04-01" "307" 0 0 1 1 0.000135189941868325
"32" "1989-04-01" "15667" 23 12 2 14 0.000133654103180968
"33" "1989-04-01" "1076" 0 1 3 4 0.000138446628824588
"34" "1989-04-01" "1206" 0 0 1 1 0.000132117849121416
"35" "1989-04-01" "719806" 0 0 1 1 0.000132117849121416
"36" "1989-04-01" "696625" 0 1 1 2 0.000132117849121416
"37" "1989-04-01" "35132" 0 3 0 3 0.000130616509926855
"38" "1989-04-01" "30398" 8 4 2 6 0.000136798905608755
"39" "1989-04-01" "32960" 0 2 2 4 0.000133654103180968
"40" "1989-04-01" "515400" 0 0 3 3 0.000135226504394861
"41" "1989-04-01" "509382" 0 0 1 1 0.000132117849121416
"42" "1989-04-01" "750922" 0 2 0 2 0.000130616509926855
"43" "1989-04-01" "796624" 0 3 0 3 0.000130616509926855
"44" "1989-04-01" "1246897" 0 2 0 2 0.000130616509926855
"45" "1989-04-01" "696783" 0 2 2 4 0.000135208220659816
"46" "1989-04-01" "6470" 0 1 6 7 0.000140173815531259
"47" "1989-04-01" "14922" 8.2 6 2 8 0.000133654103180968
"48" "1989-04-01" "33613" 0 0 4 4 0.000136836343732895
"49" "1989-04-01" "1277888" 0 0 1 1 0.000132117849121416
"50" "1989-04-01" "29006" 6.5 1 6 7 0.000143636885952313
"51" "1989-04-01" "509272" 0 0 3 3 0.000135226504394861
"52" "1989-04-01" "347736" 0 0 6 6 0.000143616257360333
"53" "1989-04-01" "28372" 0 0 1 1 0.000133636242148871
"54" "1989-04-01" "751456" 0 0 5 5 0.000138427464008859
