"mon" "ids" "betweenness" "indegree" "outdegree" "alldegree" "closeness"
"1" "2002-10-01" "40849" 0 1 0 1 0.000190258751902588
"2" "2002-10-01" "37011" 0 1 0 1 0.000190258751902588
"3" "2002-10-01" "132242" 0 1 0 1 0.000190258751902588
"4" "2002-10-01" "129171" 0 1 0 1 0.000190258751902588
"5" "2002-10-01" "141975" 0 1 0 1 0.000190258751902588
"6" "2002-10-01" "167318" 0 1 0 1 0.000190258751902588
"7" "2002-10-01" "211739" 0 1 0 1 0.000190258751902588
"8" "2002-10-01" "37019" 0 1 0 1 0.000190258751902588
"9" "2002-10-01" "207769" 0 1 0 1 0.000190258751902588
"10" "2002-10-01" "86302" 0 1 0 1 0.000190258751902588
"11" "2002-10-01" "43553" 0 1 0 1 0.000190258751902588
"12" "2002-10-01" "228132" 0 1 0 1 0.000190258751902588
"13" "2002-10-01" "210082" 0 1 0 1 0.000190258751902588
"14" "2002-10-01" "198562" 0 1 0 1 0.000190258751902588
"15" "2002-10-01" "41381" 0 1 0 1 0.000190258751902588
"16" "2002-10-01" "37161" 0 1 0 1 0.000190258751902588
"17" "2002-10-01" "37042" 0 1 0 1 0.000190258751902588
"18" "2002-10-01" "172977" 0 1 0 1 0.000190258751902588
"19" "2002-10-01" "217912" 0 1 0 1 0.000190258751902588
"20" "2002-10-01" "211383" 0 1 0 1 0.000190258751902588
"21" "2002-10-01" "37050" 0 1 0 1 0.000190258751902588
"22" "2002-10-01" "199485" 0 1 0 1 0.000190258751902588
"23" "2002-10-01" "227652" 0 1 0 1 0.000190258751902588
"24" "2002-10-01" "229316" 0 1 0 1 0.000190258751902588
"25" "2002-10-01" "230466" 0 1 0 1 0.000190258751902588
"26" "2002-10-01" "107459" 0 1 0 1 0.000190258751902588
"27" "2002-10-01" "133701" 0 1 0 1 0.000190258751902588
"28" "2002-10-01" "43975" 0 1 0 1 0.000190258751902588
"29" "2002-10-01" "43977" 0 1 0 1 0.000190258751902588
"30" "2002-10-01" "232524" 0 1 0 1 0.000190258751902588
"31" "2002-10-01" "40906" 0 1 0 1 0.000190258751902588
"32" "2002-10-01" "228169" 0 1 0 1 0.000190258751902588
"33" "2002-10-01" "120779" 0 1 0 1 0.000190258751902588
"34" "2002-10-01" "141519" 0 1 0 1 0.000190258751902588
"35" "2002-10-01" "225488" 0 1 0 1 0.000190258751902588
"36" "2002-10-01" "208591" 0 1 0 1 0.000190258751902588
"37" "2002-10-01" "44367" 0 1 0 1 0.000190258751902588
"38" "2002-10-01" "217037" 0 1 0 1 0.000190258751902588
"39" "2002-10-01" "44627" 0 1 0 1 0.000190258751902588
"40" "2002-10-01" "232530" 0 1 0 1 0.000190258751902588
"41" "2002-10-01" "188759" 0 1 0 1 0.000190258751902588
"42" "2002-10-01" "43223" 0 1 0 1 0.000190258751902588
"43" "2002-10-01" "58461" 0 1 0 1 0.000190258751902588
"44" "2002-10-01" "180701" 0 0 72 72 0.00390625
"45" "2002-10-01" "42849" 0 1 0 1 0.000190258751902588
"46" "2002-10-01" "230755" 0 1 0 1 0.000190258751902588
"47" "2002-10-01" "179809" 0 1 0 1 0.000190258751902588
"48" "2002-10-01" "187234" 0 1 0 1 0.000190258751902588
"49" "2002-10-01" "204779" 0 1 0 1 0.000190258751902588
"50" "2002-10-01" "37227" 0 1 0 1 0.000190258751902588
"51" "2002-10-01" "150767" 0 1 0 1 0.000190258751902588
"52" "2002-10-01" "39789" 0 1 0 1 0.000190258751902588
"53" "2002-10-01" "236013" 0 1 0 1 0.000190258751902588
"54" "2002-10-01" "38000" 0 1 0 1 0.000190258751902588
"55" "2002-10-01" "39793" 0 1 0 1 0.000190258751902588
"56" "2002-10-01" "113138" 0 1 0 1 0.000190258751902588
"57" "2002-10-01" "36978" 0 1 0 1 0.000190258751902588
"58" "2002-10-01" "108916" 0 1 0 1 0.000190258751902588
"59" "2002-10-01" "222074" 0 1 0 1 0.000190258751902588
"60" "2002-10-01" "122366" 0 1 0 1 0.000190258751902588
"61" "2002-10-01" "44413" 0 1 0 1 0.000190258751902588
"62" "2002-10-01" "227839" 0 1 0 1 0.000190258751902588
"63" "2002-10-01" "176125" 0 1 0 1 0.000190258751902588
"64" "2002-10-01" "180350" 0 1 0 1 0.000190258751902588
"65" "2002-10-01" "178562" 0 1 0 1 0.000190258751902588
"66" "2002-10-01" "41734" 0 1 0 1 0.000190258751902588
"67" "2002-10-01" "225158" 0 1 0 1 0.000190258751902588
"68" "2002-10-01" "177286" 0 1 0 1 0.000190258751902588
"69" "2002-10-01" "240777" 0 1 0 1 0.000190258751902588
"70" "2002-10-01" "209295" 0 1 0 1 0.000190258751902588
"71" "2002-10-01" "209038" 0 1 0 1 0.000190258751902588
"72" "2002-10-01" "178701" 0 1 0 1 0.000190258751902588
"73" "2002-10-01" "195726" 0 1 0 1 0.000190258751902588
