"mon" "ids" "betweenness" "indegree" "outdegree" "alldegree" "closeness"
"1" "1988-01-01" "15505" 0 1 2 3 0.000229621125143513
"2" "1988-01-01" "584730" 0 9 2 11 0.000219490781387182
"3" "1988-01-01" "3092" 0 0 1 1 0.000216262975778547
"4" "1988-01-01" "31380" 0 0 1 1 0.000216262975778547
"5" "1988-01-01" "764313" 0 0 5 5 0.000229779411764706
"6" "1988-01-01" "22805" 0 2 1 3 0.000216262975778547
"7" "1988-01-01" "28184" 0 4 0 4 0.000213128729752771
"8" "1988-01-01" "583968" 0 0 1 1 0.000216262975778547
"9" "1988-01-01" "18585" 9 3 4 7 0.000226244343891403
"10" "1988-01-01" "2036004" 0.666666666666667 3 2 5 0.000229515721826945
"11" "1988-01-01" "458651" 0 0 3 3 0.000222816399286988
"12" "1988-01-01" "17696" 0 3 0 3 0.000213128729752771
"13" "1988-01-01" "13605" 0 0 5 5 0.000229779411764706
"14" "1988-01-01" "691760" 15 5 4 9 0.000229515721826945
"15" "1988-01-01" "27820" 0 1 0 1 0.000213128729752771
"16" "1988-01-01" "32047" 5 1 2 3 0.000229410415232852
"17" "1988-01-01" "338102" 0 13 0 13 0.000213128729752771
"18" "1988-01-01" "15409" 0 0 1 1 0.000216262975778547
"19" "1988-01-01" "1324357" 0 0 1 1 0.000216262975778547
"20" "1988-01-01" "596926" 0 0 5 5 0.000229779411764706
"21" "1988-01-01" "337585" 0 0 2 2 0.000229621125143513
"22" "1988-01-01" "456754" 0 1 0 1 0.000213128729752771
"23" "1988-01-01" "15419" 1 1 2 3 0.000219490781387182
"24" "1988-01-01" "399548" 3 1 3 4 0.000222816399286988
"25" "1988-01-01" "1316401" 0 1 2 3 0.000219490781387182
"26" "1988-01-01" "586573" 0 0 1 1 0.000216262975778547
"27" "1988-01-01" "24009" 0.666666666666667 1 3 4 0.000229621125143513
"28" "1988-01-01" "29001" 0 0 2 2 0.000222766763198931
"29" "1988-01-01" "25546" 0 7 0 7 0.000213128729752771
"30" "1988-01-01" "20427" 0 2 1 3 0.000216262975778547
"31" "1988-01-01" "28108" 0 0 3 3 0.000226193168966297
"32" "1988-01-01" "377674" 0 5 0 5 0.000213128729752771
"33" "1988-01-01" "509004" 0 1 0 1 0.000213128729752771
"34" "1988-01-01" "819395" 0 2 0 2 0.000213128729752771
"35" "1988-01-01" "28112" 0 1 0 1 0.000213128729752771
"36" "1988-01-01" "752348" 0 0 5 5 0.000229779411764706
"37" "1988-01-01" "16339" 0 2 1 3 0.000216262975778547
"38" "1988-01-01" "15318" 0 0 2 2 0.000219490781387182
"39" "1988-01-01" "20569" 0 0 1 1 0.000216262975778547
"40" "1988-01-01" "590033" 0 0 2 2 0.000219490781387182
"41" "1988-01-01" "22875" 0 0 3 3 0.000233154581487526
"42" "1988-01-01" "1244" 0 12 1 13 0.000216262975778547
"43" "1988-01-01" "32606" 0 0 2 2 0.000233045910044279
"44" "1988-01-01" "20064" 0 0 1 1 0.000216262975778547
"45" "1988-01-01" "511334" 0 0 1 1 0.000216262975778547
"46" "1988-01-01" "3429" 0 1 0 1 0.000213128729752771
"47" "1988-01-01" "426211" 0 0 1 1 0.000216262975778547
"48" "1988-01-01" "933483" 0 0 2 2 0.000219490781387182
"49" "1988-01-01" "18153" 0 1 0 1 0.000213128729752771
"50" "1988-01-01" "16234" 0 0 3 3 0.000233263354327035
"51" "1988-01-01" "458349" 0 0 3 3 0.000233263354327035
"52" "1988-01-01" "350700" 0 0 1 1 0.000216262975778547
"53" "1988-01-01" "432489" 0 0 2 2 0.000219490781387182
"54" "1988-01-01" "1324421" 0 2 0 2 0.000213128729752771
"55" "1988-01-01" "35441" 0 0 1 1 0.000216262975778547
"56" "1988-01-01" "382712" 0 0 1 1 0.000216262975778547
"57" "1988-01-01" "391154" 0 0 1 1 0.000216262975778547
"58" "1988-01-01" "447730" 0 6 3 9 0.000222816399286988
"59" "1988-01-01" "977015" 0 4 4 8 0.000226244343891403
"60" "1988-01-01" "32762" 0 1 0 1 0.000213128729752771
"61" "1988-01-01" "16636" 1 1 1 2 0.000216262975778547
"62" "1988-01-01" "28288" 0 1 0 1 0.000213128729752771
"63" "1988-01-01" "16641" 0 10 0 10 0.000213128729752771
"64" "1988-01-01" "391681" 0 0 2 2 0.000219490781387182
"65" "1988-01-01" "15496" 0 0 4 4 0.000226244343891403
"66" "1988-01-01" "589315" 0 1 0 1 0.000213128729752771
"67" "1988-01-01" "599302" 0 0 1 1 0.000216262975778547
"68" "1988-01-01" "506379" 0 0 1 1 0.000216262975778547
"69" "1988-01-01" "21520" 0 0 1 1 0.000216262975778547
