"mon" "ids" "betweenness" "indegree" "outdegree" "alldegree" "closeness"
"1" "1991-01-01" "389011" 0 2 0 2 6.8870523415978e-05
"2" "1991-01-01" "424860" 0 0 1 1 6.94444444444444e-05
"3" "1991-01-01" "2719" 0 6 0 6 6.8870523415978e-05
"4" "1991-01-01" "573079" 0 2 0 2 6.8870523415978e-05
"5" "1991-01-01" "413850" 0 0 1 1 6.94444444444444e-05
"6" "1991-01-01" "642474" 0 0 2 2 7.06164818868724e-05
"7" "1991-01-01" "573103" 0 0 1 1 6.94444444444444e-05
"8" "1991-01-01" "7080" 0 0 3 3 7.06214689265537e-05
"9" "1991-01-01" "1193" 0 1 1 2 6.94444444444444e-05
"10" "1991-01-01" "350128" 0 2 0 2 6.8870523415978e-05
"11" "1991-01-01" "358575" 0 1 1 2 6.94444444444444e-05
"12" "1991-01-01" "685" 0 0 3 3 7.06214689265537e-05
"13" "1991-01-01" "388266" 0 0 2 2 7.36811081638668e-05
"14" "1991-01-01" "350136" 4.5 4 3 7 7.30673681134005e-05
"15" "1991-01-01" "1743561" 0 1 0 1 6.8870523415978e-05
"16" "1991-01-01" "1206" 0 3 0 3 6.8870523415978e-05
"17" "1991-01-01" "1028794" 0 3 1 4 6.94444444444444e-05
"18" "1991-01-01" "1208" 3.33333333333333 2 2 4 7.11997152011392e-05
"19" "1991-01-01" "1454274" 0 0 3 3 7.12199985756e-05
"20" "1991-01-01" "701" 0 2 0 2 6.8870523415978e-05
"21" "1991-01-01" "813747" 0 0 1 1 6.94444444444444e-05
"22" "1991-01-01" "362952" 2 4 2 6 7.00280112044818e-05
"23" "1991-01-01" "8648" 0 0 1 1 6.94444444444444e-05
"24" "1991-01-01" "1643698" 0 1 0 1 6.8870523415978e-05
"25" "1991-01-01" "366032" 0 0 4 4 7.37136960047177e-05
"26" "1991-01-01" "959171" 0 1 1 2 6.94444444444444e-05
"27" "1991-01-01" "380882" 0 2 0 2 6.8870523415978e-05
"28" "1991-01-01" "375261" 22.6666666666667 10 3 13 7.12047849615494e-05
"29" "1991-01-01" "1454317" 0 0 2 2 7.00231076255164e-05
"30" "1991-01-01" "355546" 0 0 2 2 7.06164818868724e-05
"31" "1991-01-01" "362202" 0 0 3 3 7.06214689265537e-05
"32" "1991-01-01" "374748" 0 2 0 2 6.8870523415978e-05
"33" "1991-01-01" "991" 0 2 0 2 6.8870523415978e-05
"34" "1991-01-01" "1109969" 0 1 1 2 6.94444444444444e-05
"35" "1991-01-01" "414949" 0 1 1 2 6.94444444444444e-05
"36" "1991-01-01" "1109971" 0 1 2 3 7.00280112044818e-05
"37" "1991-01-01" "362978" 0 1 0 1 6.8870523415978e-05
"38" "1991-01-01" "357857" 0 0 3 3 7.06214689265537e-05
"39" "1991-01-01" "2279" 2 2 1 3 6.94444444444444e-05
"40" "1991-01-01" "374756" 0 0 1 1 6.94444444444444e-05
"41" "1991-01-01" "414191" 0 1 0 1 6.8870523415978e-05
"42" "1991-01-01" "359402" 0 0 2 2 7.00280112044818e-05
"43" "1991-01-01" "375273" 14.3333333333333 6 2 8 7.12149266486255e-05
"44" "1991-01-01" "350700" 0 1 2 3 7.00280112044818e-05
"45" "1991-01-01" "412906" 0 1 1 2 7.2406053146043e-05
"46" "1991-01-01" "445939" 0 1 0 1 6.8870523415978e-05
"47" "1991-01-01" "957945" 0 0 1 1 6.94444444444444e-05
"48" "1991-01-01" "1798660" 0 1 0 1 6.8870523415978e-05
"49" "1991-01-01" "380414" 0 0 3 3 7.06214689265537e-05
"50" "1991-01-01" "360701" 2.5 2 5 7 7.30460189919649e-05
"51" "1991-01-01" "14851" 0 0 2 2 7.30406836607991e-05
"52" "1991-01-01" "413445" 0 0 1 1 7.00231076255164e-05
"53" "1991-01-01" "3588" 0 2 0 2 6.8870523415978e-05
"54" "1991-01-01" "363778" 0 2 0 2 6.8870523415978e-05
"55" "1991-01-01" "2062072" 0 3 0 3 6.8870523415978e-05
"56" "1991-01-01" "1110009" 0 0 1 1 6.94444444444444e-05
"57" "1991-01-01" "400397" 0 1 1 2 6.94444444444444e-05
"58" "1991-01-01" "368650" 0 0 1 1 6.94444444444444e-05
"59" "1991-01-01" "1110014" 0 0 2 2 7.00280112044818e-05
"60" "1991-01-01" "360725" 1 1 3 4 7.06214689265537e-05
"61" "1991-01-01" "890141" 0 0 2 2 7.00231076255164e-05
"62" "1991-01-01" "801310" 0 1 0 1 6.8870523415978e-05
"63" "1991-01-01" "439317" 0 7 0 7 6.8870523415978e-05
"64" "1991-01-01" "425493" 0 1 0 1 6.8870523415978e-05
"65" "1991-01-01" "583197" 0 3 1 4 6.94444444444444e-05
"66" "1991-01-01" "890140" 0 0 2 2 7.12149266486255e-05
"67" "1991-01-01" "5914" 0 0 1 1 6.94444444444444e-05
"68" "1991-01-01" "351520" 0 0 2 2 7.00280112044818e-05
"69" "1991-01-01" "375327" 0 0 2 2 7.18081286801666e-05
"70" "1991-01-01" "831249" 0 0 2 2 7.00280112044818e-05
"71" "1991-01-01" "7454" 12 3 2 5 7.00280112044818e-05
"72" "1991-01-01" "622890" 0 0 3 3 7.06214689265537e-05
"73" "1991-01-01" "375336" 0 0 3 3 7.18132854578097e-05
"74" "1991-01-01" "878377" 13.5 4 4 8 7.30727073438071e-05
"75" "1991-01-01" "1040937" 0 0 2 2 7.06164818868724e-05
"76" "1991-01-01" "2603" 0 0 2 2 7.00280112044818e-05
"77" "1991-01-01" "1040934" 1 2 1 3 6.94444444444444e-05
"78" "1991-01-01" "1685011" 0 6 0 6 6.8870523415978e-05
"79" "1991-01-01" "17453" 0 6 0 6 6.8870523415978e-05
"80" "1991-01-01" "14639" 0 1 0 1 6.8870523415978e-05
"81" "1991-01-01" "878883" 0 0 1 1 6.94444444444444e-05
"82" "1991-01-01" "1743435" 0 0 1 1 7.05965407695023e-05
"83" "1991-01-01" "820798" 2 7 1 8 6.94444444444444e-05
"84" "1991-01-01" "375093" 2 1 2 3 7.00280112044818e-05
"85" "1991-01-01" "820799" 0 2 0 2 6.8870523415978e-05
"86" "1991-01-01" "373559" 0 0 1 1 6.94444444444444e-05
"87" "1991-01-01" "1974088" 0 1 0 1 6.8870523415978e-05
"88" "1991-01-01" "819505" 0 0 4 4 7.37136960047177e-05
"89" "1991-01-01" "5951" 0 6 0 6 6.8870523415978e-05
"90" "1991-01-01" "1040946" 0 2 0 2 6.8870523415978e-05
"91" "1991-01-01" "403001" 0 0 2 2 7.17926627898629e-05
"92" "1991-01-01" "412986" 0 0 2 2 7.00280112044818e-05
"93" "1991-01-01" "375368" 0 0 2 2 7.18081286801666e-05
"94" "1991-01-01" "1454390" 0 2 0 2 6.8870523415978e-05
"95" "1991-01-01" "325" 0 0 2 2 7.00280112044818e-05
"96" "1991-01-01" "388930" 0 1 0 1 6.8870523415978e-05
"97" "1991-01-01" "2118" 0 0 2 2 7.00280112044818e-05
"98" "1991-01-01" "350275" 0 0 1 1 6.94444444444444e-05
"99" "1991-01-01" "2121" 0 0 2 2 7.18081286801666e-05
"100" "1991-01-01" "14922" 0 0 1 1 6.94444444444444e-05
"101" "1991-01-01" "936520" 0 0 3 3 7.06114955514758e-05
"102" "1991-01-01" "1153849" 0 0 1 1 6.94444444444444e-05
"103" "1991-01-01" "400716" 0 0 1 1 6.94444444444444e-05
"104" "1991-01-01" "375372" 5.83333333333333 2 3 5 7.12199985756e-05
"105" "1991-01-01" "347736" 0 0 1 1 6.94444444444444e-05
"106" "1991-01-01" "375379" 10 2 2 4 7.18081286801666e-05
"107" "1991-01-01" "415080" 0 0 2 2 7.00280112044818e-05
"108" "1991-01-01" "878703" 0 1 0 1 6.8870523415978e-05
"109" "1991-01-01" "375393" 0 0 2 2 7.18184429761563e-05
"110" "1991-01-01" "425839" 0 5 1 6 6.94444444444444e-05
"111" "1991-01-01" "1110146" 0 7 0 7 6.8870523415978e-05
"112" "1991-01-01" "1911" 0 0 1 1 6.94444444444444e-05
"113" "1991-01-01" "1100937" 0 3 1 4 6.94444444444444e-05
"114" "1991-01-01" "820344" 0 0 1 1 6.94444444444444e-05
"115" "1991-01-01" "413562" 0 2 0 2 6.8870523415978e-05
"116" "1991-01-01" "362875" 0 1 0 1 6.8870523415978e-05
"117" "1991-01-01" "6022" 0 0 1 1 6.94444444444444e-05
"118" "1991-01-01" "949641" 0 0 2 2 7.00280112044818e-05
"119" "1991-01-01" "361603" 0 0 3 3 7.12199985756e-05
"120" "1991-01-01" "1676" 0 0 2 2 7.00280112044818e-05
"121" "1991-01-01" "350089" 0 1 0 1 6.8870523415978e-05
