"mon" "ids" "betweenness" "indegree" "outdegree" "alldegree" "closeness"
"1" "1988-07-01" "510872" 290.376190476191 11 15 26 0.000164717509471257
"2" "1988-07-01" "498323" 0 0 3 3 0.000166444740346205
"3" "1988-07-01" "790940" 0 0 7 7 0.000166140554909453
"4" "1988-07-01" "18585" 0 0 3 3 0.000102040816326531
"5" "1988-07-01" "15774" 0 4 0 4 9.9009900990099e-05
"6" "1988-07-01" "533654" 0 1 0 1 9.9009900990099e-05
"7" "1988-07-01" "673429" 0 1 0 1 9.9009900990099e-05
"8" "1988-07-01" "791216" 0 1 0 1 9.9009900990099e-05
"9" "1988-07-01" "7080" 0 1 6 7 0.00016479894528675
"10" "1988-07-01" "16552" 0 1 0 1 9.9009900990099e-05
"11" "1988-07-01" "534436" 93.9642857142857 3 2 5 0.000163853842372604
"12" "1988-07-01" "374709" 0 0 2 2 0.00016750418760469
"13" "1988-07-01" "535743" 0 0 4 4 0.000166638893517747
"14" "1988-07-01" "546483" 0 0 1 1 1e-04
"15" "1988-07-01" "30144" 0 1 0 1 9.9009900990099e-05
"16" "1988-07-01" "32960" 0 0 2 2 0.000166527893422148
"17" "1988-07-01" "14787" 0 6 0 6 9.9009900990099e-05
"18" "1988-07-01" "401603" 0 1 2 3 0.000163880694854146
"19" "1988-07-01" "24009" 0 1 0 1 9.9009900990099e-05
"20" "1988-07-01" "790982" 1.375 1 2 3 0.000163988192850115
"21" "1988-07-01" "366032" 0 0 3 3 0.000166444740346205
"22" "1988-07-01" "790978" 0 1 0 1 9.9009900990099e-05
"23" "1988-07-01" "1278398" 0 1 0 1 9.9009900990099e-05
"24" "1988-07-01" "1488" 0 0 3 3 0.000166444740346205
"25" "1988-07-01" "26833" 0 2 0 2 9.9009900990099e-05
"26" "1988-07-01" "535770" 0 4 0 4 9.9009900990099e-05
"27" "1988-07-01" "516054" 0 1 1 2 1e-04
"28" "1988-07-01" "29395" 0 4 1 5 1e-04
"29" "1988-07-01" "535774" 303.805555555556 11 9 20 0.000164554879052164
