"mon" "ids" "betweenness" "indegree" "outdegree" "alldegree" "closeness"
"1" "1987-10-01" "15505" 0 1 2 3 0.000180245133381399
"2" "1987-10-01" "584730" 0 9 2 11 0.000170881749829118
"3" "1987-10-01" "449173" 0 0 5 5 0.000177904287493329
"4" "1987-10-01" "3092" 0 0 1 1 0.000170852554245686
"5" "1987-10-01" "764313" 0 0 5 5 0.000177904287493329
"6" "1987-10-01" "22805" 0 2 1 3 0.000168662506324844
"7" "1987-10-01" "28184" 13 9 1 10 0.000168662506324844
"8" "1987-10-01" "458769" 0 2 0 2 0.000166500166500167
"9" "1987-10-01" "18585" 12 3 5 8 0.000177904287493329
"10" "1987-10-01" "689303" 0 4 0 4 0.000166500166500167
"11" "1987-10-01" "507675" 0 1 0 1 0.000166500166500167
"12" "1987-10-01" "458651" 0 0 3 3 0.000173160173160173
"13" "1987-10-01" "17696" 0 5 0 5 0.000166500166500167
"14" "1987-10-01" "20259" 0 0 2 2 0.000170706725844998
"15" "1987-10-01" "13605" 0 0 5 5 0.000177904287493329
"16" "1987-10-01" "17189" 0 1 0 1 0.000166500166500167
"17" "1987-10-01" "596644" 0 0 1 1 0.00016860563142809
"18" "1987-10-01" "27820" 0 1 2 3 0.000175407823188914
"19" "1987-10-01" "28206" 0 1 1 2 0.000170852554245686
"20" "1987-10-01" "2752069" 0 0 2 2 0.000170881749829118
"21" "1987-10-01" "15792" 0 0 2 2 0.000170881749829118
"22" "1987-10-01" "338102" 0 13 0 13 0.000166500166500167
"23" "1987-10-01" "1324357" 0 0 1 1 0.000168662506324844
"24" "1987-10-01" "391735" 0 1 0 1 0.000166500166500167
"25" "1987-10-01" "596926" 0 0 5 5 0.000177904287493329
"26" "1987-10-01" "337585" 0 0 2 2 0.000180245133381399
"27" "1987-10-01" "456754" 0 1 0 1 0.000166500166500167
"28" "1987-10-01" "15419" 1 1 2 3 0.000170881749829118
"29" "1987-10-01" "449469" 0 2 0 2 0.000166500166500167
"30" "1987-10-01" "399548" 3 1 5 6 0.00018034265103697
"31" "1987-10-01" "17599" 0 1 0 1 0.000166500166500167
"32" "1987-10-01" "28100" 0 1 1 2 0.00017307026652821
"33" "1987-10-01" "396998" 0 0 1 1 0.000168662506324844
"34" "1987-10-01" "1316401" 0 1 2 3 0.000170881749829118
"35" "1987-10-01" "28105" 0 0 1 1 0.00017307026652821
"36" "1987-10-01" "29001" 0 0 2 2 0.000173130193905817
"37" "1987-10-01" "25546" 0 3 0 3 0.000166500166500167
"38" "1987-10-01" "14922" 0 1 0 1 0.000166500166500167
"39" "1987-10-01" "20427" 0 2 1 3 0.000168662506324844
"40" "1987-10-01" "28108" 0 0 3 3 0.000177809388335704
"41" "1987-10-01" "15952" 0 0 1 1 0.000168662506324844
"42" "1987-10-01" "28112" 0 2 1 3 0.00017307026652821
"43" "1987-10-01" "752348" 0 0 5 5 0.000177904287493329
"44" "1987-10-01" "16339" 0 2 1 3 0.000168662506324844
"45" "1987-10-01" "457811" 0 1 0 1 0.000166500166500167
"46" "1987-10-01" "15318" 0 0 2 2 0.000170881749829118
"47" "1987-10-01" "1438180" 0 1 0 1 0.000166500166500167
"48" "1987-10-01" "20569" 0 0 1 1 0.000168662506324844
"49" "1987-10-01" "590033" 0 0 2 2 0.000170881749829118
"50" "1987-10-01" "1244" 0 12 1 13 0.000168662506324844
"51" "1987-10-01" "20064" 0 0 1 1 0.000168662506324844
"52" "1987-10-01" "340194" 0 1 0 1 0.000166500166500167
"53" "1987-10-01" "933483" 0 0 2 2 0.000170881749829118
"54" "1987-10-01" "15207" 0 0 1 1 0.000168662506324844
"55" "1987-10-01" "16234" 0 0 5 5 0.00018807598269701
"56" "1987-10-01" "458349" 0 0 3 3 0.000182781941144215
"57" "1987-10-01" "432489" 0 0 1 1 0.000168662506324844
"58" "1987-10-01" "17776" 0 0 2 2 0.000170881749829118
"59" "1987-10-01" "1324421" 0 2 0 2 0.000166500166500167
"60" "1987-10-01" "24689" 0 1 1 2 0.000168662506324844
"61" "1987-10-01" "382712" 0 0 1 1 0.000168662506324844
"62" "1987-10-01" "391154" 0 0 1 1 0.000168662506324844
"63" "1987-10-01" "585853" 0 1 0 1 0.000166500166500167
"64" "1987-10-01" "447730" 0 6 3 9 0.000173160173160173
"65" "1987-10-01" "977015" 0 4 4 8 0.000175500175500176
"66" "1987-10-01" "32762" 0 1 0 1 0.000166500166500167
"67" "1987-10-01" "16636" 10 6 1 7 0.000170852554245686
"68" "1987-10-01" "28288" 0 2 1 3 0.000170852554245686
"69" "1987-10-01" "16641" 0 10 0 10 0.000166500166500167
"70" "1987-10-01" "17537" 0 0 1 1 0.000168662506324844
"71" "1987-10-01" "487558" 0 1 0 1 0.000166500166500167
"72" "1987-10-01" "391681" 0 0 2 2 0.000170881749829118
"73" "1987-10-01" "15496" 0 0 4 4 0.000175500175500176
"74" "1987-10-01" "15243" 0 0 1 1 0.000170852554245686
"75" "1987-10-01" "20877" 0 0 2 2 0.000173130193905817
"76" "1987-10-01" "599302" 0 0 1 1 0.000168662506324844
"77" "1987-10-01" "506379" 0 0 1 1 0.000168662506324844
"78" "1987-10-01" "21520" 0 0 1 1 0.000168662506324844
