"mon" "ids" "betweenness" "indegree" "outdegree" "alldegree" "closeness"
"1" "1989-01-01" "510872" 0 1 0 1 3.17399860344061e-05
"2" "1989-01-01" "696991" 0 6 3 9 3.22841000807103e-05
"3" "1989-01-01" "697759" 0 0 2 2 3.2100667693888e-05
"4" "1989-01-01" "540831" 0 0 3 3 3.22841000807103e-05
"5" "1989-01-01" "400786" 0 0 5 5 3.26541274817137e-05
"6" "1989-01-01" "514961" 78 2 5 7 3.86070573700872e-05
"7" "1989-01-01" "741779" 0 0 2 2 3.2100667693888e-05
"8" "1989-01-01" "708497" 0.2 14 2 16 3.2100667693888e-05
"9" "1989-01-01" "541332" 0 2 1 3 3.4837136387389e-05
"10" "1989-01-01" "751505" 65.3333333333333 5 3 8 3.24685866424235e-05
"11" "1989-01-01" "2129852" 0 1 0 1 3.17399860344061e-05
"12" "1989-01-01" "1215408" 0 22 0 22 3.17399860344061e-05
"13" "1989-01-01" "353435" 0 1 2 3 3.2100667693888e-05
"14" "1989-01-01" "366246" 0 2 3 5 3.22841000807103e-05
"15" "1989-01-01" "428199" 0 0 0 0 3.17399860344061e-05
"16" "1989-01-01" "7080" 0 1 5 6 3.26530612244898e-05
"17" "1989-01-01" "511408" 0 0 3 3 3.57079093019104e-05
"18" "1989-01-01" "1277851" 0 0 1 1 3.19193079894028e-05
"19" "1989-01-01" "29868" 4.5 1 4 5 3.26562602050813e-05
"20" "1989-01-01" "2700741" 0 0 6 6 3.28471948495598e-05
"21" "1989-01-01" "27056" 0 2 0 2 3.17399860344061e-05
"22" "1989-01-01" "2096591" 0 0 7 7 3.32325279984048e-05
"23" "1989-01-01" "511668" 84.6666666666667 5 4 9 3.24696408857718e-05
"24" "1989-01-01" "1206" 0 0 1 1 3.19193079894028e-05
"25" "1989-01-01" "512690" 0 1 2 3 3.20986069204597e-05
"26" "1989-01-01" "719806" 0 0 1 1 3.19193079894028e-05
"27" "1989-01-01" "380605" 0 0 4 4 3.26562602050813e-05
"28" "1989-01-01" "30398" 17 2 2 4 3.50532809871004e-05
"29" "1989-01-01" "510906" 5.66666666666667 2 2 4 3.38123415046492e-05
"30" "1989-01-01" "32960" 11.3333333333333 3 2 5 3.46356331393738e-05
"31" "1989-01-01" "791476" 0 2 1 3 3.19193079894028e-05
"32" "1989-01-01" "509881" 0 0 1 1 3.19193079894028e-05
"33" "1989-01-01" "1248692" 0 5 0 5 3.17399860344061e-05
"34" "1989-01-01" "512712" 0 0 1 1 3.19182891797e-05
"35" "1989-01-01" "608460" 0 0 4 4 3.26562602050813e-05
"36" "1989-01-01" "696777" 0 0 1 1 3.19193079894028e-05
"37" "1989-01-01" "796624" 0 7 2 9 3.20996372740988e-05
"38" "1989-01-01" "1246897" 0 6 0 6 3.17399860344061e-05
"39" "1989-01-01" "696783" 0 2 2 4 3.2100667693888e-05
"40" "1989-01-01" "521412" 0 1 0 1 3.17399860344061e-05
"41" "1989-01-01" "687299" 0 0 5 5 3.26573266712387e-05
"42" "1989-01-01" "1277888" 0 0 1 1 3.19193079894028e-05
"43" "1989-01-01" "512714" 2.5 1 5 6 3.28461159467893e-05
"44" "1989-01-01" "371148" 0 0 5 5 3.26573266712387e-05
"45" "1989-01-01" "751558" 0 0 1 1 3.19193079894028e-05
"46" "1989-01-01" "28372" 0 0 1 1 3.20996372740988e-05
"47" "1989-01-01" "1273320" 0 0 5 5 3.30371006640457e-05
"48" "1989-01-01" "1246950" 1.2 16 1 17 3.19193079894028e-05
"49" "1989-01-01" "28889" 0 0 2 2 3.2100667693888e-05
"50" "1989-01-01" "8411" 0 19 1 20 3.19182891797e-05
"51" "1989-01-01" "1244" 2 3 1 4 3.19193079894028e-05
"52" "1989-01-01" "10974" 0.2 2 4 6 3.24696408857718e-05
"53" "1989-01-01" "21470" 3.5 1 7 8 3.30392837083292e-05
"54" "1989-01-01" "465627" 0 0 1 1 3.26530612244898e-05
"55" "1989-01-01" "510939" 0 1 0 1 3.17399860344061e-05
"56" "1989-01-01" "751575" 0 1 2 3 3.2100667693888e-05
"57" "1989-01-01" "1248751" 0 2 0 2 3.17399860344061e-05
"58" "1989-01-01" "29920" 0 0 2 2 3.2100667693888e-05
"59" "1989-01-01" "622826" 0 0 3 3 3.22841000807103e-05
"60" "1989-01-01" "444134" 0 0 3 3 3.22841000807103e-05
"61" "1989-01-01" "938990" 0 0 7 7 3.30392837083292e-05
"62" "1989-01-01" "518372" 0 4 3 7 3.26551938085753e-05
"63" "1989-01-01" "509424" 0 2 0 2 3.17399860344061e-05
"64" "1989-01-01" "31721" 1.5 1 4 5 3.28450371148919e-05
"65" "1989-01-01" "506863" 0 2 0 2 3.17399860344061e-05
"66" "1989-01-01" "1673428" 0 0 2 2 3.2100667693888e-05
"67" "1989-01-01" "350700" 0 5 3 8 3.22809735941636e-05
"68" "1989-01-01" "1163232" 0 3 2 5 3.2100667693888e-05
"69" "1989-01-01" "698853" 0 0 3 3 3.22841000807103e-05
"70" "1989-01-01" "700646" 0 1 0 1 3.17399860344061e-05
"71" "1989-01-01" "520937" 4 2 3 5 3.80865326020719e-05
"72" "1989-01-01" "511721" 0 0 1 1 3.19193079894028e-05
