"mon" "ids" "betweenness" "indegree" "outdegree" "alldegree" "closeness"
"1" "1987-07-01" "487959" 0 0 2 2 0.000140213123948402
"2" "1987-07-01" "449173" 0 0 5 5 0.000132187706543291
"3" "1987-07-01" "395155" 0 0 1 1 0.000126246686024492
"4" "1987-07-01" "458769" 269.133333333333 37 6 43 0.000138619351261436
"5" "1987-07-01" "28184" 0 0 2 2 0.000127681307456588
"6" "1987-07-01" "18585" 0 0 4 4 0.000130650640188137
"7" "1987-07-01" "343582" 0 0 3 3 0.000141984949595343
"8" "1987-07-01" "390816" 0 0 2 2 0.000140036409466461
"9" "1987-07-01" "20253" 0 1 0 1 0.000124843945068664
"10" "1987-07-01" "689303" 0 14 0 14 0.000124843945068664
"11" "1987-07-01" "507675" 28.9333333333333 6 4 10 0.000138159712627798
"12" "1987-07-01" "458651" 0.5 1 1 2 0.000126246686024492
"13" "1987-07-01" "585494" 0 0 2 2 0.000140213123948402
"14" "1987-07-01" "588568" 0 7 0 7 0.000124843945068664
"15" "1987-07-01" "17696" 0 2 0 2 0.000124843945068664
"16" "1987-07-01" "19234" 0 0 3 3 0.000140252454417952
"17" "1987-07-01" "20259" 0 0 2 2 0.000139625802848366
"18" "1987-07-01" "17189" 0 7 0 7 0.000124843945068664
"19" "1987-07-01" "448673" 1 2 4 6 0.000141803743618832
"20" "1987-07-01" "467376" 0 8 0 8 0.000124843945068664
"21" "1987-07-01" "390574" 0 0 3 3 0.000129148908691722
"22" "1987-07-01" "734115" 0 0 1 1 0.000126246686024492
"23" "1987-07-01" "596644" 16 2 1 3 0.000150511739915713
"24" "1987-07-01" "492717" 0 0 2 2 0.000127681307456588
"25" "1987-07-01" "459052" 0 3 0 3 0.000124843945068664
"26" "1987-07-01" "458411" 0 0 2 2 0.000127681307456588
"27" "1987-07-01" "2752069" 0 0 2 2 0.000127681307456588
"28" "1987-07-01" "20015" 0 0 3 3 0.000129132231404959
"29" "1987-07-01" "15792" 0 0 2 2 0.000127681307456588
"30" "1987-07-01" "338102" 0 0 1 1 0.000126246686024492
"31" "1987-07-01" "15409" 0 1 0 1 0.000124843945068664
"32" "1987-07-01" "458677" 5.2 7 3 10 0.000138427464008859
"33" "1987-07-01" "391735" 0 2 3 5 0.000129148908691722
"34" "1987-07-01" "452275" 0 0 3 3 0.000141984949595343
"35" "1987-07-01" "458675" 0 1 0 1 0.000124843945068664
"36" "1987-07-01" "2752032" 0 8 0 8 0.000124843945068664
"37" "1987-07-01" "25271" 0 0 1 1 0.000126246686024492
"38" "1987-07-01" "458673" 0 0 5 5 0.000142065634323057
"39" "1987-07-01" "449469" 22.7333333333333 25 1 26 0.00013848497438028
"40" "1987-07-01" "863793" 0 1 2 3 0.000140036409466461
"41" "1987-07-01" "17599" 0 1 0 1 0.000124843945068664
"42" "1987-07-01" "589239" 4.33333333333333 3 3 6 0.000141803743618832
"43" "1987-07-01" "24511" 0 0 4 4 0.000140272127928181
"44" "1987-07-01" "1028401" 0 0 4 4 0.000143802128271498
"45" "1987-07-01" "396998" 0 0 3 3 0.000141984949595343
"46" "1987-07-01" "455366" 0 0 3 3 0.000143781452192667
"47" "1987-07-01" "726606" 0 0 8 8 0.000149611011370437
"48" "1987-07-01" "32456" 0 0 4 4 0.000140291806958474
"49" "1987-07-01" "14922" 44 2 8 10 0.000151469251741896
"50" "1987-07-01" "446667" 0 2 1 3 0.000126246686024492
"51" "1987-07-01" "29006" 10.3333333333333 4 2 6 0.000138504155124654
"52" "1987-07-01" "15952" 110.366666666667 5 5 10 0.00013848497438028
"53" "1987-07-01" "23379" 0 0 1 1 0.000126246686024492
"54" "1987-07-01" "28372" 0 3 1 4 0.000126230749810654
"55" "1987-07-01" "446678" 0 1 2 3 0.000127681307456588
"56" "1987-07-01" "1028445" 0 0 3 3 0.000140193466984439
"57" "1987-07-01" "457811" 0 7 1 8 0.000126246686024492
"58" "1987-07-01" "1438180" 0 1 0 1 0.000124843945068664
"59" "1987-07-01" "20569" 0 0 3 3 0.000129148908691722
"60" "1987-07-01" "446685" 0 4 0 4 0.000124843945068664
"61" "1987-07-01" "21470" 3 6 1 7 0.000140173815531259
"62" "1987-07-01" "667864" 5.33333333333333 1 3 4 0.000143781452192667
"63" "1987-07-01" "15198" 0 0 2 2 0.000129132231404959
"64" "1987-07-01" "465627" 5 1 4 5 0.000142005112184039
"65" "1987-07-01" "965360" 1.5 4 1 5 0.000126246686024492
"66" "1987-07-01" "340194" 0 5 2 7 0.000127681307456588
"67" "1987-07-01" "392033" 1 1 1 2 0.000126246686024492
"68" "1987-07-01" "15207" 0 0 1 1 0.000126246686024492
"69" "1987-07-01" "457825" 0 0 5 5 0.000141904356463743
"70" "1987-07-01" "728168" 0 1 2 3 0.000140213123948402
"71" "1987-07-01" "25838" 0 0 1 1 0.000126246686024492
"72" "1987-07-01" "393836" 0 0 4 4 0.000143616257360333
"73" "1987-07-01" "17776" 0 0 2 2 0.000140213123948402
"74" "1987-07-01" "412906" 0 0 1 1 0.000152183838076396
"75" "1987-07-01" "24689" 0 1 1 2 0.000126246686024492
"76" "1987-07-01" "338038" 0 0 2 2 0.000140036409466461
"77" "1987-07-01" "2751961" 0 0 1 1 0.000126246686024492
"78" "1987-07-01" "382712" 0 0 4 4 0.000140311491511155
