"mon" "ids" "betweenness" "indegree" "outdegree" "alldegree" "closeness"
"1" "2003-07-01" "40849" 329777.153771347 142 311 453 4.31643807530026e-07
"2" "2003-07-01" "245651" 0 4 0 4 8.52220674021331e-08
"3" "2003-07-01" "65430" 9263.04260003577 6 13 19 4.31237647736628e-07
"4" "2003-07-01" "262033" 0 0 5 5 4.31921597591605e-07
"5" "2003-07-01" "229274" 0 1 1 2 4.30995098723737e-07
"6" "2003-07-01" "237471" 2974.28195339379 10 7 17 4.31008287858367e-07
"7" "2003-07-01" "229278" 0 4 0 4 8.52220674021331e-08
"8" "2003-07-01" "311207" 2934.62287307575 11 4 15 4.31007544787071e-07
"9" "2003-07-01" "163746" 29.5686758867325 1 2 3 8.5271846647111e-08
"10" "2003-07-01" "114599" 0 1 2 3 4.3041520433101e-07
"11" "2003-07-01" "73644" 2779.49445358445 2 6 8 4.30979309976266e-07
"12" "2003-07-01" "49068" 749.472607951259 4 5 9 4.31363955572963e-07
"13" "2003-07-01" "171951" 130.426224662543 1 4 5 4.31072387399582e-07
"14" "2003-07-01" "171950" 3241.45945903811 13 1 14 4.31162530596371e-07
"15" "2003-07-01" "40882" 0 2 0 2 8.52220674021331e-08
"16" "2003-07-01" "237490" 0 0 1 1 4.31581959356201e-07
"17" "2003-07-01" "98230" 694.995807760265 1 3 4 4.31185025806424e-07
"18" "2003-07-01" "147385" 0 3 0 3 8.52220674021331e-08
"19" "2003-07-01" "229316" 201.273288369542 9 16 25 4.31271496188638e-07
"20" "2003-07-01" "278477" 278.792677232131 2 5 7 4.30931393567487e-07
"21" "2003-07-01" "40906" 177589.550990542 95 128 223 4.31621264425862e-07
"22" "2003-07-01" "122833" 0 7 0 7 8.52220674021331e-08
"23" "2003-07-01" "171985" 5808.26002329296 15 1 16 4.30941050280909e-07
"24" "2003-07-01" "221138" 0 0 4 4 4.31433931070664e-07
"25" "2003-07-01" "40918" 70567.8583001021 78 70 148 4.31590900164825e-07
"26" "2003-07-01" "40920" 11408.6268128883 12 9 21 4.30567910462542e-07
"27" "2003-07-01" "237525" 0 0 1 1 8.5246949757579e-08
"28" "2003-07-01" "40922" 159761.072473245 189 255 444 4.31503743079219e-07
"29" "2003-07-01" "40924" 2397.67889916129 4 6 10 4.31118104804811e-07
"30" "2003-07-01" "253913" 0 0 3 3 8.52967580834671e-08
"31" "2003-07-01" "106462" 5983.60473272066 4 9 13 4.31121264495914e-07
"32" "2003-07-01" "49117" 0 2 1 3 4.31032624859376e-07
"33" "2003-07-01" "171999" 231.488888292849 5 6 11 4.31162530596371e-07
"34" "2003-07-01" "65504" 0 3 1 4 4.30949035967007e-07
"35" "2003-07-01" "147428" 0 2 1 3 8.5246949757579e-08
"36" "2003-07-01" "49123" 3863.96350672959 1 18 19 4.31327301939895e-07
"37" "2003-07-01" "172001" 0 0 1 1 4.31376422949053e-07
"38" "2003-07-01" "204769" 7159.63245898782 37 18 55 4.3137809772612e-07
"39" "2003-07-01" "147426" 7764.90000094617 24 8 32 4.31195437607314e-07
"40" "2003-07-01" "212968" 494.305210220851 4 1 5 4.31120521035017e-07
"41" "2003-07-01" "49125" 0 1 3 4 4.30592012345934e-07
"42" "2003-07-01" "204779" 13431.7638225017 57 73 130 4.31432255860036e-07
"43" "2003-07-01" "204783" 0 0 1 1 4.31620332943292e-07
"44" "2003-07-01" "49135" 0 1 0 1 8.52220674021331e-08
"45" "2003-07-01" "73711" 217.541883707794 1 8 9 4.31183724366667e-07
"46" "2003-07-01" "188403" 0 0 3 3 4.31720024383547e-07
"47" "2003-07-01" "81905" 0 12 12 24 4.30583854483325e-07
"48" "2003-07-01" "212983" 3293.13697306976 11 27 38 4.31253827377718e-07
"49" "2003-07-01" "245751" 0 4 2 6 4.30968351408146e-07
"50" "2003-07-01" "204791" 0 0 2 2 4.31288050388246e-07
"51" "2003-07-01" "278515" 0 0 3 3 4.31843817637538e-07
"52" "2003-07-01" "212989" 0 2 0 2 8.52220674021331e-08
"53" "2003-07-01" "229388" 0 10 2 12 8.5271846647111e-08
"54" "2003-07-01" "294921" 0 0 1 1 4.31292700672946e-07
"55" "2003-07-01" "229391" 0 0 3 3 8.52967580834671e-08
"56" "2003-07-01" "180237" 104.259045565302 4 2 6 4.3099361267466e-07
"57" "2003-07-01" "319500" 0 13 0 13 8.52220674021331e-08
"58" "2003-07-01" "221204" 0 7 0 7 8.52220674021331e-08
"59" "2003-07-01" "90130" 109.219103060677 9 1 10 4.30801812641707e-07
"60" "2003-07-01" "139284" 0 10 0 10 8.52220674021331e-08
"61" "2003-07-01" "40979" 3055.93839277203 5 6 11 4.30994541454132e-07
"62" "2003-07-01" "172055" 0 2 0 2 8.52220674021331e-08
"63" "2003-07-01" "40981" 16998.9835820925 17 55 72 4.31403965378969e-07
"64" "2003-07-01" "188440" 0 0 1 1 4.31459991577901e-07
"65" "2003-07-01" "270355" 0 6 0 6 8.52220674021331e-08
"66" "2003-07-01" "204826" 0 9 4 13 4.31028909108934e-07
"67" "2003-07-01" "65567" 43.6109257498864 1 1 2 4.3110174949712e-07
"68" "2003-07-01" "163876" 0 1 0 1 8.52220674021331e-08
"69" "2003-07-01" "237607" 78922.1576324064 81 132 213 4.31533908855723e-07
"70" "2003-07-01" "188453" 0 1 0 1 8.52220674021331e-08
"71" "2003-07-01" "188459" 0 9 0 9 8.52220674021331e-08
"72" "2003-07-01" "98348" 14037.3856461316 15 17 32 4.31347209485498e-07
"73" "2003-07-01" "90158" 0 1 1 2 4.30682882164302e-07
"74" "2003-07-01" "131119" 0 1 3 4 4.31054734899183e-07
"75" "2003-07-01" "57397" 0 0 4 4 4.31811930359099e-07
"76" "2003-07-01" "57400" 0 10 0 10 8.52220674021331e-08
"77" "2003-07-01" "278590" 10635.0292586829 7 14 21 4.31419599133537e-07
"78" "2003-07-01" "204859" 0.770098039215686 2 7 9 4.31169223140852e-07
"79" "2003-07-01" "204858" 468.222090574255 5 11 16 4.31312977086067e-07
"80" "2003-07-01" "311360" 2950.31513223448 8 4 12 4.31090784701623e-07
"81" "2003-07-01" "49213" 0 6 0 6 8.52220674021331e-08
"82" "2003-07-01" "188483" 0 24 0 24 8.52220674021331e-08
"83" "2003-07-01" "131141" 0 0 6 6 4.31526087693868e-07
"84" "2003-07-01" "319566" 0 5 0 5 8.52220674021331e-08
"85" "2003-07-01" "147536" 0 0 1 1 4.3127372814143e-07
"86" "2003-07-01" "196686" 144.041491511161 2 3 5 4.30999556932455e-07
"87" "2003-07-01" "131154" 0 0 4 4 4.31173870863426e-07
"88" "2003-07-01" "41046" 22105.9769306268 29 43 72 4.31401732077954e-07
"89" "2003-07-01" "319581" 0 4 0 4 8.52220674021331e-08
"90" "2003-07-01" "254043" 2753 2 1 3 4.31258290940643e-07
"91" "2003-07-01" "41055" 10738.1565936531 19 20 39 4.31289352457853e-07
"92" "2003-07-01" "213086" 220.627167127927 7 21 28 4.31234672302616e-07
"93" "2003-07-01" "172125" 0 0 1 1 4.31486986136755e-07
"94" "2003-07-01" "57440" 4015.74386196494 5 7 12 4.31158254912833e-07
"95" "2003-07-01" "65636" 0 0 2 2 4.31545454898537e-07
"96" "2003-07-01" "204904" 1354.53434676108 1 10 11 4.3126368453579e-07
"97" "2003-07-01" "155759" 0 8 2 10 4.30142308281272e-07
"98" "2003-07-01" "245870" 891.443915261563 3 2 5 4.31047116898254e-07
"99" "2003-07-01" "90223" 2787.29201940256 11 1 12 4.30801627051585e-07
"100" "2003-07-01" "204915" 0 1 0 1 8.52220674021331e-08
"101" "2003-07-01" "41077" 2391.4728545575 10 12 22 4.31194136104704e-07
"102" "2003-07-01" "122998" 261.501739969478 1 4 5 4.31105466503536e-07
"103" "2003-07-01" "221302" 5437.75150808506 8 12 20 4.30983024871599e-07
"104" "2003-07-01" "65657" 163.095927527058 5 4 9 4.31050647157889e-07
"105" "2003-07-01" "106620" 135.314804687929 1 2 3 4.30512301027977e-07
"106" "2003-07-01" "196729" 3051.89050802946 7 1 8 4.3110844015482e-07
"107" "2003-07-01" "254073" 6 1 2 3 4.30253720619049e-07
"108" "2003-07-01" "221312" 0 2 4 6 4.29557508514904e-07
"109" "2003-07-01" "41087" 437.631553718726 6 11 17 4.3108911215473e-07
"110" "2003-07-01" "180350" 20706.2967782708 91 114 205 4.31364141647906e-07
"111" "2003-07-01" "41089" 7576.7414757406 3 5 8 4.30895370417051e-07
"112" "2003-07-01" "65665" 0 0 3 3 4.31511191026984e-07
"113" "2003-07-01" "245890" 259.882560585345 2 3 5 4.3120250304429e-07
"114" "2003-07-01" "188546" 0 2 0 2 8.52220674021331e-08
"115" "2003-07-01" "114819" 0 5 1 6 4.30341114187572e-07
"116" "2003-07-01" "49285" 3019.87578632006 13 15 28 4.30818887617016e-07
"117" "2003-07-01" "90245" 2639.12402367159 8 24 32 4.31283028193403e-07
"118" "2003-07-01" "196745" 0 6 0 6 8.52220674021331e-08
"119" "2003-07-01" "147597" 0.2 1 3 4 4.31746119465878e-07
"120" "2003-07-01" "336011" 0 2 0 2 8.52220674021331e-08
"121" "2003-07-01" "123026" 18565.9428649495 7 18 25 4.31185397647797e-07
"122" "2003-07-01" "139410" 19951.1713674652 46 20 66 4.31354093830731e-07
"123" "2003-07-01" "82078" 0 1 0 1 8.52220674021331e-08
"124" "2003-07-01" "204966" 0 1 1 2 4.31098404246147e-07
"125" "2003-07-01" "254117" 2391 6 1 7 8.5246949757579e-08
"126" "2003-07-01" "303276" 403.714683635104 1 2 3 4.31121078630449e-07
"127" "2003-07-01" "139441" 0 4 1 5 4.26535634919619e-07
"128" "2003-07-01" "213169" 1693.22152305587 5 1 6 4.30948478816512e-07
"129" "2003-07-01" "262333" 0 3 0 3 8.52220674021331e-08
"130" "2003-07-01" "262334" 2550.70264616945 1 9 10 4.310095882393e-07
"131" "2003-07-01" "147641" 70.6443036933926 3 5 8 4.30911710068812e-07
"132" "2003-07-01" "90299" 199.197076185549 4 3 7 4.30059064311893e-07
"133" "2003-07-01" "319674" 0 2 0 2 8.52220674021331e-08
"134" "2003-07-01" "41157" 14236.9510563019 47 49 96 4.31474140028892e-07
"135" "2003-07-01" "245960" 3025.10407523647 6 1 7 4.30754863437786e-07
"136" "2003-07-01" "147655" 5380.4212025743 24 10 34 4.3136153661332e-07
"137" "2003-07-01" "98503" 0 2 0 2 8.52220674021331e-08
"138" "2003-07-01" "131276" 0 8 1 9 4.14729362133799e-07
"139" "2003-07-01" "73931" 0 3 1 4 4.3005277607668e-07
"140" "2003-07-01" "41166" 61092.6068575558 155 167 322 4.31439142920256e-07
"141" "2003-07-01" "106704" 0 6 0 6 8.52220674021331e-08
"142" "2003-07-01" "327883" 0 4 0 4 8.52220674021331e-08
"143" "2003-07-01" "245972" 0 3 5 8 4.30542513705245e-07
"144" "2003-07-01" "65746" 7249.73478000444 2 3 5 4.31037455430727e-07
"145" "2003-07-01" "41170" 22664.581510325 76 13 89 4.31220911454392e-07
"146" "2003-07-01" "164052" 4.2067483288035 4 5 9 4.31009774008645e-07
"147" "2003-07-01" "213202" 0 17 0 17 8.52220674021331e-08
"148" "2003-07-01" "311511" 3859.27075899379 1 9 10 4.3120399053421e-07
"149" "2003-07-01" "41172" 0 0 3 3 4.31820880698686e-07
"150" "2003-07-01" "262360" 217.014279602827 1 2 3 4.31226118158544e-07
"151" "2003-07-01" "262353" 1992.1817744036 6 2 8 4.3112516770769e-07
"152" "2003-07-01" "41174" 21423.7374018498 25 19 44 4.3128526026556e-07
"153" "2003-07-01" "106709" 0 0 1 1 4.316458570199e-07
"154" "2003-07-01" "41176" 5290.22407138395 59 42 101 4.31254013357662e-07
"155" "2003-07-01" "147675" 0 0 1 1 4.31584008258792e-07
"156" "2003-07-01" "295134" 4664.48994225045 5 12 17 4.28926457127514e-07
"157" "2003-07-01" "41178" 0 0 4 4 4.33848890431463e-07
"158" "2003-07-01" "73948" 8537.54321374021 24 19 43 4.31241739025437e-07
"159" "2003-07-01" "172250" 17492.1479884062 22 30 52 4.31445657909327e-07
"160" "2003-07-01" "41180" 0 0 2 2 4.323780229169e-07
"161" "2003-07-01" "205017" 0 0 3 3 4.31217378405324e-07
"162" "2003-07-01" "205023" 0 0 5 5 4.31854447776921e-07
"163" "2003-07-01" "49376" 0 0 1 1 8.52469424905372e-08
"164" "2003-07-01" "295141" 0 1 3 4 4.30964822496364e-07
"165" "2003-07-01" "286947" 0 0 1 1 4.31612136070042e-07
"166" "2003-07-01" "172265" 497.645244352797 5 5 10 4.31172941310895e-07
"167" "2003-07-01" "246004" 67393.0724257742 85 77 162 4.3140954873267e-07
"168" "2003-07-01" "164083" 106.676020750241 1 3 4 4.31185769489812e-07
"169" "2003-07-01" "180466" 0 0 4 4 4.31688900803503e-07
"170" "2003-07-01" "254193" 0 0 2 2 4.30716643580255e-07
"171" "2003-07-01" "246008" 0 2 0 2 8.52220674021331e-08
"172" "2003-07-01" "82166" 2177.62593900077 14 16 30 4.3117814685669e-07
"173" "2003-07-01" "41209" 7495.29882092382 27 28 55 4.31334929847687e-07
"174" "2003-07-01" "205052" 0 3 0 3 8.52220674021331e-08
"175" "2003-07-01" "155897" 28.5432764826486 3 1 4 4.30739648895497e-07
"176" "2003-07-01" "221437" 0 1 1 2 4.29928898358789e-07
"177" "2003-07-01" "229636" 1468.82590483064 5 1 6 4.31132416717073e-07
"178" "2003-07-01" "311560" 168.430445930967 7 2 9 4.30935107636817e-07
"179" "2003-07-01" "82181" 0 3 0 3 8.52220674021331e-08
"180" "2003-07-01" "41224" 26545.9078099476 51 69 120 4.31473209181232e-07
"181" "2003-07-01" "196876" 338.90495119138 5 10 15 4.31197482841574e-07
"182" "2003-07-01" "41226" 25437.0223674436 40 45 85 4.31320976562449e-07
"183" "2003-07-01" "270606" 0 0 5 5 4.31970854062535e-07
"184" "2003-07-01" "172303" 0 4 1 5 4.30027994822463e-07
"185" "2003-07-01" "172304" 4101.33392792229 60 12 72 4.31127955759374e-07
"186" "2003-07-01" "114960" 11271.7432684423 32 19 51 4.31273542144482e-07
"187" "2003-07-01" "114970" 0 1 0 1 8.52220674021331e-08
"188" "2003-07-01" "41241" 0 0 1 1 4.3179999715012e-07
"189" "2003-07-01" "114969" 2978.67656429343 6 8 14 4.30961665097966e-07
"190" "2003-07-01" "131353" 7338.41746233599 10 20 30 4.31441190467048e-07
"191" "2003-07-01" "41243" 0 2 1 3 4.31738663406176e-07
"192" "2003-07-01" "41245" 50269.9760523824 37 62 99 4.31465017895012e-07
"193" "2003-07-01" "106782" 64.7716030860129 1 5 6 4.3110918357405e-07
"194" "2003-07-01" "262426" 1960.1165510308 6 3 9 4.30999371171917e-07
"195" "2003-07-01" "262428" 0 0 3 3 4.3146483173303e-07
"196" "2003-07-01" "139555" 0 0 1 1 4.31606174903223e-07
"197" "2003-07-01" "155937" 0 4 0 4 8.52220674021331e-08
"198" "2003-07-01" "49448" 210.221676925873 11 4 15 4.31066812769578e-07
"199" "2003-07-01" "254251" 655.636830174318 1 4 5 4.31266474379321e-07
"200" "2003-07-01" "147754" 0 0 1 1 4.30701617241503e-07
"201" "2003-07-01" "172336" 21677.100026148 38 5 43 4.30676204709014e-07
"202" "2003-07-01" "164141" 1201.88823186658 3 2 5 4.31064397141353e-07
"203" "2003-07-01" "131379" 2424.54830457021 5 20 25 4.31282284174485e-07
"204" "2003-07-01" "123186" 0 1 0 1 8.52220674021331e-08
"205" "2003-07-01" "205106" 1054.32995870885 23 9 32 4.31009402470115e-07
"206" "2003-07-01" "57651" 2289.78215486076 4 5 9 4.3117126812644e-07
"207" "2003-07-01" "147762" 0 0 4 4 4.31389449335682e-07
"208" "2003-07-01" "311601" 2658.39362759244 6 3 9 4.31283028193403e-07
"209" "2003-07-01" "147767" 0 0 2 2 4.31321162600315e-07
"210" "2003-07-01" "295218" 4434.22818202576 13 11 24 4.31331580976897e-07
"211" "2003-07-01" "90433" 5473.77228762035 11 10 21 4.30332780642599e-07
"212" "2003-07-01" "49477" 305.220927973298 4 4 8 4.30948850250015e-07
"213" "2003-07-01" "270660" 351.553952595146 3 4 7 4.31071644107251e-07
"214" "2003-07-01" "41289" 8885.96720463427 19 20 39 4.31385541337088e-07
"215" "2003-07-01" "262478" 149.844980285369 7 4 11 4.31062167354714e-07
"216" "2003-07-01" "57678" 4791.13234809291 15 11 26 4.31169037234033e-07
"217" "2003-07-01" "319820" 0 1 0 1 8.52220674021331e-08
"218" "2003-07-01" "196947" 0 0 1 1 4.31233742487908e-07
"219" "2003-07-01" "188759" 13489.0071951542 27 29 56 4.31498157287119e-07
"220" "2003-07-01" "196958" 0 1 0 1 8.52220674021331e-08
"221" "2003-07-01" "98656" 0 1 0 1 8.52220674021331e-08
"222" "2003-07-01" "139621" 0 4 0 4 8.52220674021331e-08
"223" "2003-07-01" "131429" 0 0 3 3 4.32864829299755e-07
"224" "2003-07-01" "229737" 0 6 0 6 8.52220674021331e-08
"225" "2003-07-01" "41327" 1605.10036169491 14 2 16 4.30807566014797e-07
"226" "2003-07-01" "303479" 0 0 4 4 4.31759354606117e-07
"227" "2003-07-01" "311668" 496.038738716643 1 2 3 4.31162902398947e-07
"228" "2003-07-01" "65913" 0 0 3 3 4.31482517838566e-07
"229" "2003-07-01" "106877" 25005.6036930139 36 29 65 4.31452359246218e-07
"230" "2003-07-01" "106880" 5.99166666666667 10 8 18 4.30338151112381e-07
"231" "2003-07-01" "237956" 0 0 1 1 4.31309070472883e-07
"232" "2003-07-01" "188804" 5230.21608871732 11 29 40 4.31415132230895e-07
"233" "2003-07-01" "188802" 1942.88640030919 3 6 9 4.3118874424902e-07
"234" "2003-07-01" "172423" 0 0 2 2 4.31670638755994e-07
"235" "2003-07-01" "229766" 2002.56673794734 10 10 20 4.311292568625e-07
"236" "2003-07-01" "131461" 0 0 1 1 4.31581959356201e-07
"237" "2003-07-01" "41357" 22228.2820792943 51 90 141 4.31499646817539e-07
"238" "2003-07-01" "90517" 3515.77540629493 5 8 13 4.3058533770808e-07
"239" "2003-07-01" "57757" 60647.3817357552 59 68 127 4.31540612934394e-07
"240" "2003-07-01" "262553" 0 0 4 4 4.31659645003108e-07
"241" "2003-07-01" "82338" 1210.74634866002 15 10 25 4.30996399025086e-07
"242" "2003-07-01" "41381" 65030.309933238 130 154 284 4.31518453023607e-07
"243" "2003-07-01" "270753" 0 2 0 2 8.52220674021331e-08
"244" "2003-07-01" "98730" 727.188693474379 5 5 10 4.31086138770077e-07
"245" "2003-07-01" "319917" 0 4 0 4 8.52220674021331e-08
"246" "2003-07-01" "41386" 50133.9086874454 95 94 189 4.31521246164316e-07
"247" "2003-07-01" "164268" 3741.92973677487 18 22 40 4.31424066128681e-07
"248" "2003-07-01" "147884" 2267.28466183299 11 5 16 4.31234300376252e-07
"249" "2003-07-01" "287147" 21.4963430223436 4 7 11 4.30958322020677e-07
