"mon" "ids" "betweenness" "indegree" "outdegree" "alldegree" "closeness"
"1" "1986-10-01" "8081" 0 1 1 2 9.24556213017752e-05
"2" "1986-10-01" "399255" 0 0 1 1 9.24556213017752e-05
"3" "1986-10-01" "452759" 0 1 5 6 9.61538461538462e-05
"4" "1986-10-01" "15508" 31 3 1 4 9.24556213017752e-05
"5" "1986-10-01" "458387" 0 0 1 1 9.24556213017752e-05
"6" "1986-10-01" "926617" 0 16 0 16 9.15750915750916e-05
"7" "1986-10-01" "919447" 0 0 3 3 9.42684766214178e-05
"8" "1986-10-01" "399257" 0 1 0 1 9.15750915750916e-05
"9" "1986-10-01" "475813" 0 0 3 3 0.000108991825613079
"10" "1986-10-01" "922798" 0 1 0 1 9.15750915750916e-05
"11" "1986-10-01" "451745" 0 0 1 1 9.24556213017752e-05
"12" "1986-10-01" "390563" 0 0 1 1 9.24556213017752e-05
"13" "1986-10-01" "469679" 0 1 0 1 9.15750915750916e-05
"14" "1986-10-01" "390582" 0.711111111111111 14 1 15 9.24556213017752e-05
"15" "1986-10-01" "399296" 0 0 3 3 9.42684766214178e-05
"16" "1986-10-01" "453307" 0 1 0 1 9.15750915750916e-05
"17" "1986-10-01" "399803" 0 0 2 2 0.000120904364647564
"18" "1986-10-01" "926667" 0 2 0 2 9.15750915750916e-05
"19" "1986-10-01" "398787" 0 3 0 3 9.15750915750916e-05
"20" "1986-10-01" "934602" 0 1 0 1 9.15750915750916e-05
"21" "1986-10-01" "469712" 0 1 0 1 9.15750915750916e-05
"22" "1986-10-01" "16591" 5 5 3 8 0.000107793467715856
"23" "1986-10-01" "28372" 0 0 4 4 0.000109075043630017
"24" "1986-10-01" "486353" 5.5 2 2 4 0.000119431506031291
"25" "1986-10-01" "1244" 0 0 2 2 9.33532486930545e-05
"26" "1986-10-01" "727000" 0 0 5 5 0.000109086942293008
"27" "1986-10-01" "918996" 82.9555555555556 4 7 11 0.000100130169219986
"28" "1986-10-01" "15331" 0 1 0 1 9.15750915750916e-05
"29" "1986-10-01" "15846" 7.22222222222222 10 2 12 9.33532486930545e-05
"30" "1986-10-01" "446689" 33.2222222222222 19 4 23 9.52018278750952e-05
"31" "1986-10-01" "392164" 0 0 4 4 0.000120948234155781
"32" "1986-10-01" "1131998" 0 0 1 1 9.24556213017752e-05
"33" "1986-10-01" "399340" 0 1 0 1 9.15750915750916e-05
"34" "1986-10-01" "16879" 0 2 2 4 0.000119075970469159
"35" "1986-10-01" "23279" 0 3 0 3 9.15750915750916e-05
"36" "1986-10-01" "918783" 0 0 1 1 9.42418245217227e-05
"37" "1986-10-01" "926463" 4.5 1 1 2 9.42418245217227e-05
"38" "1986-10-01" "21234" 0 0 1 1 9.24470740501063e-05
"39" "1986-10-01" "509174" 0 0 1 1 9.24556213017752e-05
"40" "1986-10-01" "926459" 0 2 0 2 9.15750915750916e-05
"41" "1986-10-01" "391934" 0 0 1 1 9.24556213017752e-05
"42" "1986-10-01" "16636" 37.1666666666667 6 9 15 0.000107828337287039
"43" "1986-10-01" "934669" 0 1 0 1 9.15750915750916e-05
"44" "1986-10-01" "926477" 0 0 2 2 0.000102165917449939
"45" "1986-10-01" "924942" 0 0 2 2 0.000125801987671405
"46" "1986-10-01" "16648" 0 0 1 1 9.24556213017752e-05
"47" "1986-10-01" "926472" 0 0 2 2 0.000108991825613079
"48" "1986-10-01" "926470" 0 0 1 1 9.24556213017752e-05
"49" "1986-10-01" "926467" 0 6 0 6 9.15750915750916e-05
"50" "1986-10-01" "920068" 0 1 0 1 9.15750915750916e-05
"51" "1986-10-01" "347148" 9 2 5 7 0.000109086942293008
"52" "1986-10-01" "399383" 26 1 2 3 0.000122428991185113
"53" "1986-10-01" "926496" 0 2 0 2 9.15750915750916e-05
"54" "1986-10-01" "918814" 60.8333333333333 4 5 9 0.000119488588839766
"55" "1986-10-01" "1057320" 0 1 0 1 9.15750915750916e-05
"56" "1986-10-01" "470303" 0 2 0 2 9.15750915750916e-05
"57" "1986-10-01" "934675" 0 4 0 4 9.15750915750916e-05
"58" "1986-10-01" "396827" 0 0 6 6 0.000101142914938809
"59" "1986-10-01" "926482" 0 0 1 1 9.24556213017752e-05
"60" "1986-10-01" "926511" 0 0 9 9 0.000100160256410256
"61" "1986-10-01" "399400" 0 0 3 3 0.000121197430614471
"62" "1986-10-01" "925998" 0 0 1 1 9.24556213017752e-05
"63" "1986-10-01" "337700" 9.66666666666667 1 7 8 0.000114116170261326
"64" "1986-10-01" "391216" 0 0 2 2 9.51655881233346e-05
"65" "1986-10-01" "15667" 0 1 3 4 0.000122204570450935
"66" "1986-10-01" "391992" 0 4 3 7 9.60891707504564e-05
"67" "1986-10-01" "926523" 0 0 1 1 9.24556213017752e-05
"68" "1986-10-01" "918585" 0 3 0 3 9.15750915750916e-05
"69" "1986-10-01" "339513" 26 1 14 15 0.000124579544038869
"70" "1986-10-01" "925745" 252.744444444444 8 19 27 0.000119746138187043
"71" "1986-10-01" "32577" 73 11 6 17 0.000107886503398425
"72" "1986-10-01" "392520" 0 0 2 2 9.33532486930545e-05
"73" "1986-10-01" "662090" 0 0 1 1 9.24556213017752e-05
"74" "1986-10-01" "926539" 0 0 2 2 0.000123609394313968
"75" "1986-10-01" "926537" 0 9 0 9 9.15750915750916e-05
"76" "1986-10-01" "1501489" 0 0 0 0 9.15750915750916e-05
"77" "1986-10-01" "484429" 0 3 0 3 9.15750915750916e-05
"78" "1986-10-01" "919622" 0 0 7 7 0.00010911074740862
"79" "1986-10-01" "919618" 50 2 9 11 0.000107944732297064
"80" "1986-10-01" "486231" 0 1 1 2 9.24556213017752e-05
"81" "1986-10-01" "24665" 67.7555555555556 4 1 5 0.000101091791346543
"82" "1986-10-01" "20063" 0 1 1 2 9.24556213017752e-05
"83" "1986-10-01" "338533" 3.33333333333333 2 5 7 0.000120729204394543
"84" "1986-10-01" "391525" 7.5 2 2 4 9.33532486930545e-05
"85" "1986-10-01" "389986" 25.5 11 2 13 9.33445346774946e-05
"86" "1986-10-01" "511329" 6.06111111111111 6 3 9 9.42684766214178e-05
"87" "1986-10-01" "918890" 0 0 2 2 9.33532486930545e-05
"88" "1986-10-01" "393577" 0 0 1 1 0.000120889748549323
"89" "1986-10-01" "391275" 2 2 1 3 9.24556213017752e-05
"90" "1986-10-01" "24689" 0 1 5 6 0.00010901558922926
"91" "1986-10-01" "399735" 0 1 0 1 9.15750915750916e-05
"92" "1986-10-01" "926586" 0 0 2 2 9.33532486930545e-05
"93" "1986-10-01" "463999" 0 0 5 5 9.61538461538462e-05
"94" "1986-10-01" "17530" 0 1 0 1 9.15750915750916e-05
"95" "1986-10-01" "497787" 0 3 1 4 9.24556213017752e-05
"96" "1986-10-01" "390790" 0 1 0 1 9.15750915750916e-05
"97" "1986-10-01" "22913" 0 1 0 1 9.15750915750916e-05
"98" "1986-10-01" "33666" 13.1611111111111 14 4 18 9.61446014806269e-05
"99" "1986-10-01" "17794" 5.16666666666667 5 1 6 9.42418245217227e-05
"100" "1986-10-01" "336771" 0 3 1 4 9.24556213017752e-05
"101" "1986-10-01" "341134" 0 1 2 3 9.33532486930545e-05
"102" "1986-10-01" "919431" 0 0 1 1 9.24556213017752e-05
"103" "1986-10-01" "399245" 0 2 0 2 9.15750915750916e-05
"104" "1986-10-01" "918659" 10.5 6 3 9 9.61261174661155e-05
"105" "1986-10-01" "399499" 0 0 4 4 0.000123350191192796
