"mon" "ids" "betweenness" "indegree" "outdegree" "alldegree" "closeness"
"1" "1987-04-01" "15505" 0 1 3 4 0.000120772946859903
"2" "1987-04-01" "392344" 0 0 4 4 0.000126342387871131
"3" "1987-04-01" "395155" 0 0 1 1 0.000118147448015123
"4" "1987-04-01" "458769" 0 13 0 13 0.000116877045348294
"5" "1987-04-01" "18584" 0 0 5 5 0.000123517786561265
"6" "1987-04-01" "23448" 0 1 1 2 0.000118133490844654
"7" "1987-04-01" "399390" 0 0 5 5 0.000123517786561265
"8" "1987-04-01" "20253" 0 1 0 1 0.000116877045348294
"9" "1987-04-01" "458908" 6 4 4 8 0.000124843945068664
"10" "1987-04-01" "724120" 0 0 2 2 0.000119445771619685
"11" "1987-04-01" "458651" 0.5 1 1 2 0.000118147448015123
"12" "1987-04-01" "507675" 0 3 0 3 0.000116877045348294
"13" "1987-04-01" "588568" 0 2 0 2 0.000116877045348294
"14" "1987-04-01" "17953" 0 8 1 9 0.000118147448015123
"15" "1987-04-01" "19234" 0 0 3 3 0.000120772946859903
"16" "1987-04-01" "17189" 0 2 0 2 0.000116877045348294
"17" "1987-04-01" "448673" 0 1 0 1 0.000116877045348294
"18" "1987-04-01" "2652737" 0 1 1 2 0.000118147448015123
"19" "1987-04-01" "467376" 0 1 0 1 0.000116877045348294
"20" "1987-04-01" "390192" 0 0 3 3 0.000123472033584393
"21" "1987-04-01" "399790" 0 3 0 3 0.000116877045348294
"22" "1987-04-01" "459052" 0 3 0 3 0.000116877045348294
"23" "1987-04-01" "20015" 0 0 3 3 0.000120758362516604
"24" "1987-04-01" "15409" 24 10 3 13 0.000120758362516604
"25" "1987-04-01" "338102" 0 0 1 1 0.000118147448015123
"26" "1987-04-01" "15667" 0 3 0 3 0.000116877045348294
"27" "1987-04-01" "919229" 0 0 1 1 0.000118147448015123
"28" "1987-04-01" "1878992" 0 2 4 6 0.000122129946262824
"29" "1987-04-01" "458677" 0 4 0 4 0.000116877045348294
"30" "1987-04-01" "391863" 0 4 0 4 0.000116877045348294
"31" "1987-04-01" "1127363" 0 0 1 1 0.000118147448015123
"32" "1987-04-01" "452275" 0 0 2 2 0.000119445771619685
"33" "1987-04-01" "458675" 0 1 0 1 0.000116877045348294
"34" "1987-04-01" "449469" 0.5 8 1 9 0.000118147448015123
"35" "1987-04-01" "722354" 0 0 1 1 0.000118147448015123
"36" "1987-04-01" "863793" 0 0 2 2 0.000119431506031291
"37" "1987-04-01" "24511" 0 0 4 4 0.000122115032360484
"38" "1987-04-01" "1475529" 3.5 1 4 5 0.000123502531801902
"39" "1987-04-01" "447930" 0 2 0 2 0.000116877045348294
"40" "1987-04-01" "453576" 2 1 2 3 0.000119445771619685
"41" "1987-04-01" "392520" 0 0 4 4 0.000122129946262824
"42" "1987-04-01" "668234" 0 4 3 7 0.000124766063630692
"43" "1987-04-01" "2655150" 0 2 0 2 0.000116877045348294
"44" "1987-04-01" "399809" 0 3 0 3 0.000116877045348294
"45" "1987-04-01" "32456" 0 0 4 4 0.000122129946262824
"46" "1987-04-01" "14922" 7 1 5 6 0.000126342387871131
"47" "1987-04-01" "446667" 0 2 1 3 0.000118147448015123
"48" "1987-04-01" "29006" 6 1 8 9 0.000127811860940695
"49" "1987-04-01" "1474364" 0 1 0 1 0.000116877045348294
"50" "1987-04-01" "15952" 4 3 2 5 0.000119431506031291
"51" "1987-04-01" "1092800" 0 0 1 1 0.000118147448015123
"52" "1987-04-01" "398679" 0 0 1 1 0.000120743781695243
"53" "1987-04-01" "446678" 0 1 2 3 0.000119445771619685
"54" "1987-04-01" "448979" 0 0 2 2 0.000122100122100122
"55" "1987-04-01" "733406" 0 3 0 3 0.000116877045348294
"56" "1987-04-01" "1474785" 0 1 0 1 0.000116877045348294
"57" "1987-04-01" "446685" 0 4 0 4 0.000116877045348294
"58" "1987-04-01" "21470" 0 1 1 2 0.000118147448015123
"59" "1987-04-01" "667864" 0 1 0 1 0.000116877045348294
"60" "1987-04-01" "15198" 0 0 2 2 0.000124812780828757
"61" "1987-04-01" "465627" 0 0 4 4 0.000130787339785509
"62" "1987-04-01" "25567" 0 0 1 1 0.000118147448015123
"63" "1987-04-01" "1483479" 0 0 2 2 0.000122100122100122
"64" "1987-04-01" "965360" 0 1 0 1 0.000116877045348294
"65" "1987-04-01" "392033" 4 1 1 2 0.0001220703125
"66" "1987-04-01" "15462" 0 2 2 4 0.000119445771619685
"67" "1987-04-01" "458851" 0 0 1 1 0.000118147448015123
"68" "1987-04-01" "15719" 0.5 3 3 6 0.000123441550425873
"69" "1987-04-01" "392164" 0 1 1 2 0.000118147448015123
"70" "1987-04-01" "457825" 0 0 7 7 0.000126342387871131
"71" "1987-04-01" "390755" 3 2 4 6 0.000123456790123457
"72" "1987-04-01" "511329" 0.5 1 4 5 0.000123502531801902
"73" "1987-04-01" "22761" 0 0 2 2 0.000119445771619685
"74" "1987-04-01" "17642" 0 2 0 2 0.000116877045348294
"75" "1987-04-01" "25838" 0 0 1 1 0.000118147448015123
"76" "1987-04-01" "393836" 0 0 2 2 0.000119431506031291
"77" "1987-04-01" "391275" 0 1 0 1 0.000116877045348294
"78" "1987-04-01" "1505288" 0 1 2 3 0.000122085215480405
"79" "1987-04-01" "382712" 1 2 2 4 0.000119431506031291
"80" "1987-04-01" "454260" 0 8 0 8 0.000116877045348294
"81" "1987-04-01" "1028218" 0 1 0 1 0.000116877045348294
"82" "1987-04-01" "1334158" 0 3 0 3 0.000116877045348294
"83" "1987-04-01" "16636" 0 0 1 1 0.000118147448015123
"84" "1987-04-01" "1474060" 0 1 0 1 0.000116877045348294
"85" "1987-04-01" "399482" 0 0 3 3 0.000120772946859903
"86" "1987-04-01" "28290" 4 1 4 5 0.000126342387871131
"87" "1987-04-01" "487558" 0 10 0 10 0.000116877045348294
"88" "1987-04-01" "391042" 0 3 0 3 0.000116877045348294
"89" "1987-04-01" "390531" 0 3 0 3 0.000116877045348294
