"mon" "ids" "betweenness" "indegree" "outdegree" "alldegree" "closeness"
"1" "1988-10-01" "510872" 683.995199245199 20 25 45 5.01730971852892e-05
"2" "1988-10-01" "791197" 30.9900793650794 6 3 9 5.01002004008016e-05
"3" "1988-10-01" "498323" 0 0 3 3 5.05510059650187e-05
"4" "1988-10-01" "540831" 0 0 3 3 3.1210986267166e-05
"5" "1988-10-01" "790940" 1.2 3 7 10 5.00751126690035e-05
"6" "1988-10-01" "751505" 0 9 0 9 3.06936771025169e-05
"7" "1988-10-01" "15774" 424.652191324328 13 13 26 5.01605136436597e-05
"8" "1988-10-01" "533654" 0 1 0 1 3.06936771025169e-05
"9" "1988-10-01" "673429" 0 4 0 4 3.06936771025169e-05
"10" "1988-10-01" "533656" 0 0 3 3 5.05893661152426e-05
"11" "1988-10-01" "366246" 0 2 3 5 3.1210986267166e-05
"12" "1988-10-01" "791214" 0 0 2 2 5.04388177141128e-05
"13" "1988-10-01" "791216" 0 1 0 1 3.06936771025169e-05
"14" "1988-10-01" "7080" 0 1 6 7 5.01957634775625e-05
"15" "1988-10-01" "36009" 367.508487759804 2 18 20 5.0251256281407e-05
"16" "1988-10-01" "511408" 0 0 3 3 5.09061290979434e-05
"17" "1988-10-01" "534436" 95.8552881758764 5 2 7 5.00876533934385e-05
"18" "1988-10-01" "31661" 0 1 0 1 3.06936771025169e-05
"19" "1988-10-01" "27056" 204.504761904762 3 4 7 5.01278259561883e-05
"20" "1988-10-01" "374709" 0 0 2 2 5.07279460254654e-05
"21" "1988-10-01" "2096591" 0 0 7 7 5.11378164152391e-05
"22" "1988-10-01" "511668" 0 5 0 5 3.06936771025169e-05
"23" "1988-10-01" "16309" 0 0 4 4 3.13863343900066e-05
"24" "1988-10-01" "1206" 0 1 0 1 3.06936771025169e-05
"25" "1988-10-01" "535743" 0 0 4 4 5.05996053230785e-05
"26" "1988-10-01" "546481" 0 0 2 2 5.05305709954523e-05
"27" "1988-10-01" "380605" 0 0 4 4 3.13873195229127e-05
"28" "1988-10-01" "546483" 0 0 1 1 3.08641975308642e-05
"29" "1988-10-01" "510906" 80.0870609782374 6 2 8 5.00776203114828e-05
"30" "1988-10-01" "791476" 278.423590530557 6 11 17 5.02285398563464e-05
"31" "1988-10-01" "32960" 37.882967032967 1 4 5 5.05714574694043e-05
"32" "1988-10-01" "509881" 0 0 1 1 3.08641975308642e-05
"33" "1988-10-01" "1248692" 0 12 0 12 3.06936771025169e-05
"34" "1988-10-01" "512712" 0 0 1 1 3.08632449615753e-05
"35" "1988-10-01" "401603" 11.5035325785326 4 2 6 5.01202886928629e-05
"36" "1988-10-01" "24009" 11.3452380952381 1 5 6 5.01454217229967e-05
"37" "1988-10-01" "790982" 3.57038689867637 2 2 4 5.00700981373924e-05
"38" "1988-10-01" "366032" 0 0 3 3 5.05510059650187e-05
"39" "1988-10-01" "790978" 143.530324250912 2 5 7 5.01328520579536e-05
"40" "1988-10-01" "36814" 0 0 2 2 3.10366232153942e-05
"41" "1988-10-01" "791234" 0 0 3 3 5.05510059650187e-05
"42" "1988-10-01" "371148" 0 0 5 5 3.15656565656566e-05
"43" "1988-10-01" "1488" 0 0 3 3 5.05510059650187e-05
"44" "1988-10-01" "535770" 97.7582481244246 6 3 9 5.0125313283208e-05
"45" "1988-10-01" "519380" 0 0 1 1 3.08641975308642e-05
"46" "1988-10-01" "535774" 387.163413389729 17 9 26 5.01403931006819e-05
"47" "1988-10-01" "17113" 0 0 1 1 3.08641975308642e-05
"48" "1988-10-01" "8411" 0 3 0 3 3.06936771025169e-05
"49" "1988-10-01" "1244" 326.793599615039 7 7 14 5.02209722780233e-05
"50" "1988-10-01" "538581" 0 0 3 3 5.05586733404116e-05
"51" "1988-10-01" "1248751" 8.83724053724054 7 4 11 5.01328520579536e-05
"52" "1988-10-01" "21470" 3.5 1 7 8 3.19284802043423e-05
"53" "1988-10-01" "510939" 110.126470588235 2 6 8 5.01328520579536e-05
"54" "1988-10-01" "465627" 0 0 6 6 5.10725229826353e-05
"55" "1988-10-01" "751575" 0 1 0 1 3.06936771025169e-05
"56" "1988-10-01" "29920" 0 0 2 2 3.10366232153942e-05
"57" "1988-10-01" "509922" 130.371912176517 13 6 19 5.01982832187139e-05
"58" "1988-10-01" "535777" 0 3 0 3 3.06936771025169e-05
"59" "1988-10-01" "509424" 0 3 0 3 3.06936771025169e-05
"60" "1988-10-01" "31721" 53.8155615783712 3 4 7 5.01403931006819e-05
"61" "1988-10-01" "506863" 0 3 0 3 3.06936771025169e-05
"62" "1988-10-01" "36074" 50.2285714285714 1 11 12 5.02234945507508e-05
"63" "1988-10-01" "1673428" 0 0 2 2 5.04999495000505e-05
"64" "1988-10-01" "16879" 0 0 1 1 3.08641975308642e-05
"65" "1988-10-01" "1163232" 0 3 2 5 3.10366232153942e-05
"66" "1988-10-01" "511721" 0 0 7 7 5.1525144270404e-05
"67" "1988-10-01" "34289" 1197.4276684272 25 11 36 5.02563071665494e-05
"68" "1988-10-01" "369142" 0 5 0 5 3.06936771025169e-05
"69" "1988-10-01" "32242" 0 2 3 5 5.00876533934385e-05
